"","Species","Site","Plot","Neighbours01","No_viable_seeds_grouped","log_seeds","total_no_nbh","total_nbh","plot_fecundity_no_nbh","mean_plot_fec_no_nbh","plot_fecundity_nbh","mean_plot_fec_nbh"
"486","VERO","7","B","0",78,4.35670882668959,122,19,58.5832740635072,61,3.55689330449006,6.33333333333333
"487","LARO","7","B","0",6,1.79175946922805,35,8,8.30269545138543,8.75,8,8
"488","VERO","7","B","0",44,3.78418963391826,122,19,58.5832740635072,61,3.55689330449006,6.33333333333333
"489","TROR","7","B","0",4,1.38629436111989,23,23,4.18255821036509,4.6,6.48074069840786,11.5
"490","TROR","7","B","0",5,1.6094379124341,23,23,4.18255821036509,4.6,6.48074069840786,11.5
"491","PEAI","7","B","1",4,1.38629436111989,161,12,45.7503807188599,53.6666666666667,5.65685424949238,6
"492","ARCA","7","B","0",30,3.40119738166216,72,9,8.64548628449077,14.4,4.47213595499958,4.5
"493","LARO","7","B","1",8,2.07944154167984,35,8,8.30269545138543,8.75,8,8
"494","TROR","7","B","0",8,2.07944154167984,23,23,4.18255821036509,4.6,6.48074069840786,11.5
"495","HYGL","7","B","0",29,3.36729582998647,93,63,23.508522636843,31,27.4226184016042,31.5
"496","LARO","7","B","0",12,2.484906649788,35,8,8.30269545138543,8.75,8,8
"497","VERO","7","B","1",15,2.70805020110221,122,19,58.5832740635072,61,3.55689330449006,6.33333333333333
"498","TRCY","7","B","1",2,0.693147180559945,80,13,15.4310601708312,20,3.63424118566428,4.33333333333333
"499","LARO","7","B","0",11,2.39789527279837,35,8,8.30269545138543,8.75,8,8
"500","LARO","7","B","0",6,1.79175946922805,35,8,8.30269545138543,8.75,8,8
"501","TRCY","7","B","1",8,2.07944154167984,80,13,15.4310601708312,20,3.63424118566428,4.33333333333333
"502","HYGL","7","B","1",47,3.85014760171006,93,63,23.508522636843,31,27.4226184016042,31.5
"503","PEAI","7","B","0",72,4.27666611901606,161,12,45.7503807188599,53.6666666666667,5.65685424949238,6
"504","PEAI","7","B","0",70,4.24849524204936,161,12,45.7503807188599,53.6666666666667,5.65685424949238,6
"505","VERO","7","B","1",3,1.09861228866811,122,19,58.5832740635072,61,3.55689330449006,6.33333333333333
"506","TRCY","7","B","0",45,3.80666248977032,80,13,15.4310601708312,20,3.63424118566428,4.33333333333333
"507","HYGL","7","B","0",56,4.02535169073515,93,63,23.508522636843,31,27.4226184016042,31.5
"508","PEAI","7","B","0",19,2.94443897916644,161,12,45.7503807188599,53.6666666666667,5.65685424949238,6
"509","ARCA","7","B","0",0,0,72,9,8.64548628449077,14.4,4.47213595499958,4.5
"510","ARCA","7","B","0",5,1.6094379124341,72,9,8.64548628449077,14.4,4.47213595499958,4.5
"511","TRCY","7","B","1",3,1.09861228866811,80,13,15.4310601708312,20,3.63424118566428,4.33333333333333
"512","ARCA","7","B","0",23,3.13549421592915,72,9,8.64548628449077,14.4,4.47213595499958,4.5
"513","TRCY","7","B","0",10,2.30258509299405,80,13,15.4310601708312,20,3.63424118566428,4.33333333333333
"514","TROR","7","C","0",4,1.38629436111989,19,2,2.99379516552391,3.16666666666667,2,2
"515","TROR","7","C","0",3,1.09861228866811,19,2,2.99379516552391,3.16666666666667,2,2
"516","ARCA","7","C","0",283,5.64544689764324,304,0,28.2895131934207,101.333333333333,NA,NA
"517","POLE","7","C","0",68,4.21950770517611,104,0,49.4772675074119,52,NA,NA
"518","TRCY","7","C","0",3,1.09861228866811,50,29,8.25370278162725,10,9.58283971412557,9.66666666666667
"519","LARO","7","C","0",0,0,9,5,2.11474252688113,2.25,2,2.5
"520","TROR","7","C","0",5,1.6094379124341,19,2,2.99379516552391,3.16666666666667,2,2
"521","TRCY","7","C","0",8,2.07944154167984,50,29,8.25370278162725,10,9.58283971412557,9.66666666666667
"522","PEAI","7","C","1",19,2.94443897916644,214,51,37.4332442331342,42.8,14.3645734095145,17
"523","TROR","7","C","0",0,0,19,2,2.99379516552391,3.16666666666667,2,2
"524","TRCY","7","C","1",8,2.07944154167984,50,29,8.25370278162725,10,9.58283971412557,9.66666666666667
"525","PEAI","7","C","0",50,3.91202300542815,214,51,37.4332442331342,42.8,14.3645734095145,17
"526","PEAI","7","C","1",6,1.79175946922805,214,51,37.4332442331342,42.8,14.3645734095145,17
"527","VERO","7","C","0",4,1.38629436111989,50,23,9.0432045948752,10,7.55952629936924,7.66666666666667
"528","ARCA","7","C","0",16,2.77258872223978,304,0,28.2895131934207,101.333333333333,NA,NA
"529","TRCY","7","C","1",11,2.39789527279837,50,29,8.25370278162725,10,9.58283971412557,9.66666666666667
"530","VERO","7","C","0",15,2.70805020110221,50,23,9.0432045948752,10,7.55952629936924,7.66666666666667
"531","TROR","7","C","1",2,0.693147180559945,19,2,2.99379516552391,3.16666666666667,2,2
"532","TRCY","7","C","0",6,1.79175946922805,50,29,8.25370278162725,10,9.58283971412557,9.66666666666667
"533","VERO","7","C","0",9,2.19722457733622,50,23,9.0432045948752,10,7.55952629936924,7.66666666666667
"534","VERO","7","C","0",14,2.63905732961526,50,23,9.0432045948752,10,7.55952629936924,7.66666666666667
"535","PEAI","7","C","0",35,3.55534806148941,214,51,37.4332442331342,42.8,14.3645734095145,17
