year,genus,species,researcher,location,field_chambers,treatment_type_1,treatment_1,treatment_type_2,treatment_2,treatment_type_3,Treatment_3,field_number_seeds,field_seeds_scaled_viability,field_number_germinants,chamber_temperature_day,chamber_temperature_night,chamber_light_hrs,chamber_length_days,chamber_number_seeds,chamber_number_germinants,TZ_number_stained,TZ_number_viable,TZ_number_nonviable
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,warm,mircosite_environment,sun,#N/A,#N/A,#N/A,15,5,12,28,15,5,10,2,8
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,warm,mircosite_environment,sun,#N/A,#N/A,#N/A,15,5,12,28,23,9,14,1,13
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,warm,mircosite_environment,sun,#N/A,#N/A,#N/A,15,5,12,28,14,9,5,3,2
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,warm,mircosite_environment,sun,#N/A,#N/A,#N/A,15,5,12,28,25,17,8,3,5
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,shade,#N/A,#N/A,#N/A,15,5,12,28,17,1,16,8,8
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,shade,#N/A,#N/A,#N/A,15,5,12,28,22,1,21,17,4
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,shade,#N/A,#N/A,#N/A,15,5,12,28,16,4,12,10,2
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,shade,#N/A,#N/A,#N/A,15,5,12,28,19,1,18,13,5
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,sun,#N/A,#N/A,#N/A,15,5,12,28,14,3,11,10,1
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,sun,#N/A,#N/A,#N/A,15,5,12,28,24,4,20,9,11
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,sun,#N/A,#N/A,#N/A,15,5,12,28,16,3,13,3,10
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,sun,#N/A,#N/A,#N/A,15,5,12,28,17,2,15,11,4
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,warm,mircosite_environment,shade,#N/A,#N/A,#N/A,15,5,12,28,11,3,8,4,4
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,warm,mircosite_environment,shade,#N/A,#N/A,#N/A,15,5,12,28,14,7,7,3,4
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,warm,mircosite_environment,shade,#N/A,#N/A,#N/A,15,5,12,28,11,3,8,4,4
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,warm,mircosite_environment,shade,#N/A,#N/A,#N/A,15,5,12,28,18,9,9,5,4
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,warm,mircosite_environment,sun,#N/A,#N/A,#N/A,15,5,12,28,10,6,4,0,4
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,warm,mircosite_environment,sun,#N/A,#N/A,#N/A,15,5,12,28,10,6,4,3,1
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,warm,mircosite_environment,sun,#N/A,#N/A,#N/A,15,5,12,28,10,3,7,1,6
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,warm,mircosite_environment,sun,#N/A,#N/A,#N/A,15,5,12,28,16,2,14,5,9
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,cool,mircosite_environment,shade,#N/A,#N/A,#N/A,20,10,12,28,20,12,8,6,2
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,cool,mircosite_environment,shade,#N/A,#N/A,#N/A,20,10,12,28,25,17,8,4,4
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,cool,mircosite_environment,shade,#N/A,#N/A,#N/A,20,10,12,28,21,11,10,5,5
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,cool,mircosite_environment,shade,#N/A,#N/A,#N/A,20,10,12,28,23,11,12,9,3
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,cool,mircosite_environment,sun,#N/A,#N/A,#N/A,20,10,12,28,21,18,3,1,2
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,cool,mircosite_environment,sun,#N/A,#N/A,#N/A,20,10,12,28,21,14,7,2,5
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,cool,mircosite_environment,sun,#N/A,#N/A,#N/A,20,10,12,28,15,15,0,0,0
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,cool,mircosite_environment,sun,#N/A,#N/A,#N/A,20,10,12,28,22,16,6,3,3
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,warm,mircosite_environment,shade,#N/A,#N/A,#N/A,20,10,12,28,19,17,2,0,2
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,warm,mircosite_environment,shade,#N/A,#N/A,#N/A,20,10,12,28,22,19,3,2,1
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,warm,mircosite_environment,shade,#N/A,#N/A,#N/A,20,10,12,28,22,19,3,1,2
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,warm,mircosite_environment,shade,#N/A,#N/A,#N/A,20,10,12,28,25,20,5,0,5
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,warm,mircosite_environment,sun,#N/A,#N/A,#N/A,20,10,12,28,18,13,5,1,4
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,warm,mircosite_environment,sun,#N/A,#N/A,#N/A,20,10,12,28,21,13,8,2,6
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,warm,mircosite_environment,sun,#N/A,#N/A,#N/A,20,10,12,28,16,11,5,3,2
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,cool,after_ripening_environment,warm,mircosite_environment,sun,#N/A,#N/A,#N/A,20,10,12,28,23,18,5,3,2
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,shade,#N/A,#N/A,#N/A,20,10,12,28,17,2,15,8,7
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,shade,#N/A,#N/A,#N/A,20,10,12,28,24,9,15,7,8
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,shade,#N/A,#N/A,#N/A,20,10,12,28,11,4,7,3,4
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,shade,#N/A,#N/A,#N/A,20,10,12,28,24,0,24,5,19
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,sun,#N/A,#N/A,#N/A,20,10,12,28,15,3,12,9,3
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,sun,#N/A,#N/A,#N/A,20,10,12,28,23,6,17,10,7
2014,Pentameris,airoides,John_Dwyer_and Todd_Erickson,Kings_Park,chambers,maternal_environment,warm,after_ripening_environment,cool,mircosite_environment,sun,#N/A,#N/A,#N/A,20,10,12,28,16,5,11,5,6
