Product code,Station number,Year,Month,monthly_total_precipitation_mm,Quality
IDCJAC0001,8107,1932,5,65.4,Y
IDCJAC0001,8107,1932,6,29.7,Y
IDCJAC0001,8107,1932,7,55.6,Y
IDCJAC0001,8107,1932,8,97.4,Y
IDCJAC0001,8107,1932,9,14.2,Y
IDCJAC0001,8107,1932,10,21,Y
IDCJAC0001,8107,1932,11,0,Y
IDCJAC0001,8107,1932,12,6.9,Y
IDCJAC0001,8107,1933,1,1.5,Y
IDCJAC0001,8107,1933,2,7.4,Y
IDCJAC0001,8107,1933,3,26.6,Y
IDCJAC0001,8107,1933,4,2.3,Y
IDCJAC0001,8107,1933,5,64.6,Y
IDCJAC0001,8107,1933,6,126.6,Y
IDCJAC0001,8107,1933,7,38.6,Y
IDCJAC0001,8107,1933,8,75.2,Y
IDCJAC0001,8107,1933,9,10.6,Y
IDCJAC0001,8107,1933,10,17.1,Y
IDCJAC0001,8107,1933,11,22.4,Y
IDCJAC0001,8107,1933,12,10.1,Y
IDCJAC0001,8107,1934,1,11.2,Y
IDCJAC0001,8107,1934,2,1.8,Y
IDCJAC0001,8107,1934,3,85.4,Y
IDCJAC0001,8107,1934,4,91.6,Y
IDCJAC0001,8107,1934,5,7.6,Y
IDCJAC0001,8107,1934,6,51.3,Y
IDCJAC0001,8107,1934,7,50.3,Y
IDCJAC0001,8107,1934,8,54.2,Y
IDCJAC0001,8107,1934,9,15.2,Y
IDCJAC0001,8107,1934,10,0,Y
IDCJAC0001,8107,1934,11,4.3,Y
IDCJAC0001,8107,1934,12,0,Y
IDCJAC0001,8107,1935,1,23.9,Y
IDCJAC0001,8107,1935,2,24.7,Y
IDCJAC0001,8107,1935,3,48.1,Y
IDCJAC0001,8107,1935,4,48.4,Y
IDCJAC0001,8107,1935,5,15.8,Y
IDCJAC0001,8107,1935,6,14.8,Y
IDCJAC0001,8107,1935,7,55.8,Y
IDCJAC0001,8107,1935,8,57.4,Y
IDCJAC0001,8107,1935,9,11.9,Y
IDCJAC0001,8107,1935,10,2.5,Y
IDCJAC0001,8107,1935,11,0,Y
IDCJAC0001,8107,1935,12,2,Y
IDCJAC0001,8107,1936,1,11.2,Y
IDCJAC0001,8107,1936,2,0,Y
IDCJAC0001,8107,1936,3,30.5,Y
IDCJAC0001,8107,1936,4,8.9,Y
IDCJAC0001,8107,1936,5,24.2,Y
IDCJAC0001,8107,1936,6,44.6,Y
IDCJAC0001,8107,1936,7,25,Y
IDCJAC0001,8107,1936,8,45.2,Y
IDCJAC0001,8107,1936,9,20.3,Y
IDCJAC0001,8107,1936,10,3.8,Y
IDCJAC0001,8107,1936,11,11.1,Y
IDCJAC0001,8107,1936,12,3.1,Y
IDCJAC0001,8107,1937,1,2.8,Y
IDCJAC0001,8107,1937,2,31.3,Y
IDCJAC0001,8107,1937,3,3.1,Y
IDCJAC0001,8107,1937,4,32.5,Y
IDCJAC0001,8107,1937,5,39.9,Y
IDCJAC0001,8107,1937,6,64,Y
IDCJAC0001,8107,1937,7,9.3,Y
IDCJAC0001,8107,1937,8,46.9,Y
IDCJAC0001,8107,1937,9,16.3,Y
IDCJAC0001,8107,1937,10,1.8,Y
IDCJAC0001,8107,1937,11,12.7,Y
IDCJAC0001,8107,1937,12,1.3,Y
IDCJAC0001,8107,1938,1,0.5,Y
IDCJAC0001,8107,1938,2,1.3,Y
IDCJAC0001,8107,1938,3,35.8,Y
IDCJAC0001,8107,1938,4,37.8,Y
IDCJAC0001,8107,1938,5,10.9,Y
IDCJAC0001,8107,1938,6,15.8,Y
IDCJAC0001,8107,1938,7,88.6,Y
IDCJAC0001,8107,1938,8,27.4,Y
IDCJAC0001,8107,1938,9,13,Y
IDCJAC0001,8107,1938,10,4.1,Y
IDCJAC0001,8107,1938,11,12.2,Y
IDCJAC0001,8107,1938,12,0,Y
IDCJAC0001,8107,1939,1,44.5,Y
IDCJAC0001,8107,1939,2,65.1,Y
IDCJAC0001,8107,1939,3,4.6,Y
IDCJAC0001,8107,1939,4,0.8,Y
IDCJAC0001,8107,1939,5,64.9,Y
IDCJAC0001,8107,1939,6,127,Y
IDCJAC0001,8107,1939,7,87.4,Y
IDCJAC0001,8107,1939,8,48,Y
IDCJAC0001,8107,1939,9,1,Y
IDCJAC0001,8107,1939,10,33.6,Y
IDCJAC0001,8107,1939,11,12.5,Y
IDCJAC0001,8107,1939,12,0,Y
IDCJAC0001,8107,1940,1,2,Y
IDCJAC0001,8107,1940,2,0,Y
IDCJAC0001,8107,1940,3,0,Y
IDCJAC0001,8107,1940,4,1.3,Y
IDCJAC0001,8107,1940,5,31.8,Y
IDCJAC0001,8107,1940,6,64.7,Y
IDCJAC0001,8107,1940,7,64.1,Y
IDCJAC0001,8107,1940,8,11.1,Y
IDCJAC0001,8107,1940,9,8.9,Y
IDCJAC0001,8107,1940,10,38,Y
IDCJAC0001,8107,1940,11,0.8,Y
IDCJAC0001,8107,1940,12,24.9,Y
IDCJAC0001,8107,1941,1,0,Y
IDCJAC0001,8107,1941,2,21.6,Y
IDCJAC0001,8107,1941,3,3.6,Y
IDCJAC0001,8107,1941,4,81.8,Y
IDCJAC0001,8107,1941,5,52,Y
IDCJAC0001,8107,1941,6,51.6,Y
