Site,Plot,Species,C_E_or_T,Rep,No_viable_seeds,No_inviable_seeds,Counted_by,Notes
7,B,HYGL,E,3,8,0,AC,
8,C,HYGL,C,1,26,8,AC,
7,A,LARO,T,2,4,6,AC,
7,A,TROR,C,3,4,0,AC,
5,B,TRCY,E,1,11,1,AC,
5,B,TRCY,T,1,8,2,AC,
1,A,PEAI,C,1,26,2,AC,
5,B,ARCA,C,1,6,4,AC,
5,B,TROR,C,2,4,0,AC,
8,A,LARO,C,2,48,40,AC,
2,A,HYGL,C,2,1,14,AC,
7,C,TRCY,T,2,3,1,AC,
6,C,TRCY,E,3,4,0,AC,
6,C,TROR,E,1,8,1,AC,
5,B,TRCY,E,2,24,2,AC,
7,C,TROR,T,2,3,1,AC,
7,A,HYGL,C,2,18,12,AC,
8,B,LARO,E,3,2,5,AC,
3,C,TRCY,T,1,14,0,AC,
1,A,PEAI,E,3,227,15,AC,
4,C,PEAI,E,2,16,4,AC,
3,C,TRCY,T,2,7,1,AC,
2,B,PEAI,C,1,7,0,AC,
2,A,LARO,E,2,0,8,AC,
1,A,PLDE,C,3,12,0,AC,
4,B,TRCY,C,3,2,2,AC,
2,C,HYGL,C,2,12,13,AC,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,12,0,AC,Nothing written on envelope
2,C,TRCY,E,2,14,6,AC,
6,ARCA,TRCY,C,3,8,0,AC,
6,C,TROR,C,3,4,0,AC,
4,B,HYGL,E,1,23,14,AC,
6,A,HYGL,E,1,50,34,AC,
6,B,LARO,E,2,5,12,AC,3 flowers
2,C,POLE,C,1,19,54,AC,
8,B,PEAI,C,1,46,1,AC,
3,C,PEAI,E,3,134,0,AC,
2,C,PLDE,C,2,32,0,AC,
3,B,PEAI,E,3,53,3,AC,
2,C,PLDE,E,1,17,1,AC,
4,C,TROR,E,3,10,3,AC,
6,B,PEAI,E,3,32,6,AC,
6,A,HYGL,C,1,8,3,AC,
7,C,TRCY,C,3,10,0,AC,
6,B,TRCY,E,1,2,2,AC,
8,B,TROR,E,2,7,3,AC,
5,A,TROR,C,1,25,2,AC,
6,B,ARCA,E,1,1,7,AC,
3,B,PLDE,E,1,0,2,AC,
7,C,ARCA,E,1,7,0,AC,
8,C,TROR,C,3,58,3,AC,
1,A,VERO,C,2,13,1,AC,
7,C,PEAI,E,3,75,4,AC,
6,C,VERO,E,2,4,0,AC,"Not sure on ID (E2), was a detached bag"
3,B,TRCY,E,1,6,0,AC,
2,B,PLDE,E,2,0,0,AC,
1,A,PEAI,C,3,73,3,AC,
2,C,TROR,E,2,2,0,AC,"Stick says E2, checklist says T1 - 3, 7. Should be E2 after swap (original E2 was pulled out accidentally)"
2,B,ARCA,E,2,11,25,AC,
8,A,LARO,E,1,11,11,AC,3 flowers
7,B,HYGL,E,2,29,17,AC,
7,A,LARO,E,1,6,14,AC,
7,A,TRCY,T,1,9,0,AC,
7,A,TRCY,C,1,5,2,AC,
7,A,LARO,E,2,4,16,AC,
7,C,LARO,E,3,0,4,AC,2 flowers
7,A,HYGL,C,3,4,8,AC,
8,C,LARO,C,1,6,11,AC,3 flowers
5,B,LARO,C,2,5,7,AC,
7,C,LARO,C,1,1,0,AC,
7,C,TROR,C,2,3,0,AC,
2,A,VERO,C,2,3,2,AC,
7,B,LARO,C,3,8,3,AC,
7,C,TROR,E,2,5,1,AC,
4,C,ARCA,E,3,9,1,AC,
4,C,TRCY,E,2,10,0,AC,
4,A,TROR,T,2,4,0,AC,
5,B,TROR,C,1,2,0,AC,
5,B,TRCY,C,3,3,2,AC,
1,A,LARO,C,1,9,4,AC,
1,A,ARCA,E,2,13,2,AC,
1,A,TROR,C,1,1,1,AC,
1,A,TRCY,C,3,10,2,AC,
3,C,TRCY,T,1,8,9,AC,
3,C,TRCY,E,3,10,0,AC,
8,B,LARO,C,2,2,6,AC,
3,C,LARO,C,3,NA,NA,AC,"1 flower, likely missed seeds"
3,C,TROR,E,3,8,0,AC,"Assuming this is 3c, actually says c3 (in addition to tror e3)"
3,C,TROR,C,3,19,0,AC,
8,B,TRCY,C,2,7,3,AC,
1,C,PLDE,T,1,0,0,AC,
2,B,VERO,T,1,94,8,AC,
8,C,VERO,C,1,19,3,AC,
3,B,VERO,C,1,4,0,AC,
3,A,TRCY,E,3,4,0,AC,
8,A,TRCY,E,3,2,1,AC,
2,B,POLE,E,2,NA,NA,AC,"9 open flower heads, 4 small buds, missed?"
3,C,VERO,E,3,16,0,AC,
7,C,TRCY,E,2,8,1,AC,
3,C,PEAI,C,1,35,2,AC,
8,C,PEAI,E,1,178,0,AC,
2,A,VERO,E,1,8,1,AC,
8,C,ARCA,C,2,106,6,AC,
2,B,PLDE,E,1,50,3,AC,
7,B,HYGL,C,1,16,21,AC,
2,C,PEAI,C,2,40,2,AC,
6,A,TRCY,E,2,5,1,AC,
7,B,TROR,C,2,2,0,AC,
7,B,TRCY,C,2,8,1,AC,
4,A,PLDE,T,1,3,0,AC,
8,C,PEAI,C,1,64,7,AC,
7,C,TROR,E,1,0,2,AC,"Notes from somehwere, accidentally broke off seeds while trying to bag. Not sure where notes from yet"
3,A,TRCY,C,1,12,6,AC,
5,B,VERO,C,2,2,0,AC,
5,A,LARO,C,1,1,13,AC,
5,A,VERO,E,2,11,1,AC,
7,A,TRCY,E,1,17,1,AC,
8,B,LARO,C,2,5,8,AC,
1,B,ARCA,E,1,11,20,AC,
8,B,ARCA,E,2,2,14,AC,
